time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-06-14 09:30:00-04:00,MLTrader,cd6f6f9eff36453abc76c39ca9dd98ce,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-06-14 09:30:00-04:00,MLTrader,cd6f6f9eff36453abc76c39ca9dd98ce,SPY,buy,market,fill,1,gtc,0.0,1,stock,540.8800048828125,10.0,0.0
